,x_1,x_109,x_113,x_12,x_124,x_127,x_144,x_16,x_18,x_2,x_25,x_27,x_28,x_30,x_33,x_38,x_42,x_44,x_45,x_52,x_55,x_57,x_59,x_60,x_62,x_64,x_67,x_68,x_7,x_70,x_71,x_73,x_77,x_78,x_8,x_80,x_83,x_89,x_91,x_99,y
10,5228,0,1,413,7,1,5,23,999,9,25,94,-43,0,23.81,-0.37,13,649,0.29,1,0.01,-0.3,51,0,0.01,0,1,0.03,108,249,0,-0.62,484,17,301,-0.31,141,0.02,0.24,-0.21,0
11,5228,1,1,854,91,1,5,14,999,5,36,94,-43,0,2.63,-0.22,25,459,0.29,1,0.0,-0.3,82,0,0.01,0,1,0.03,501,162,0,0.11,1095,6,148,-0.31,273,0.02,0.24,-0.26,0
12,5191,1,5,35,14,1,5,9,999,6,36,94,-36,1,77.56,-0.04,10,585,-0.8,2,0.0,-0.56,32,0,0.01,0,1,-0.05,619,128,0,0.11,1947,8,97,-0.31,355,0.02,-0.1,0.21,0
13,5228,0,0,661,89,1,5,19,999,9,47,94,-42,1,7.17,-0.22,11,1095,-0.8,2,0.01,0.19,116,0,0.02,1,1,0.03,310,209,1,0.11,434,5,211,-0.31,159,0.02,-0.1,-0.49,0
14,5099,0,6,519,82,-2,1,7,999,8,29,93,-46,1,2.66,-0.04,13,1931,0.29,2,0.0,-0.56,149,0,0.03,0,0,-0.01,765,177,1,0.11,1030,3,553,-0.31,435,0.02,0.24,0.21,0
15,5228,0,0,959,48,1,5,49,999,9,27,94,-43,0,22.68,0.2,9,1665,0.29,2,0.0,-0.3,112,0,0.03,1,0,-0.05,979,3,0,0.11,874,12,698,-0.31,151,0.02,0.24,-0.21,0
16,5228,1,1,680,91,1,5,19,999,8,44,94,-43,0,42.29,0.2,12,1593,0.29,6,0.0,-0.3,133,0,0.0,1,1,-0.05,8,209,0,0.11,1764,13,191,-0.31,63,0.02,-0.13,0.21,0
17,5228,1,5,845,50,1,5,59,999,1,46,94,-43,0,13.19,0.2,18,953,-0.8,4,0.01,-0.3,103,0,0.03,1,0,0.06,136,143,1,0.11,422,4,59,-0.31,1,0.02,-0.13,0.21,0
18,5228,1,5,91,79,1,5,13,999,4,45,93,-36,1,18.21,0.2,30,930,0.29,2,0.01,-0.08,184,0,0.01,1,0,0.06,701,84,1,-0.62,1537,9,38,-0.31,368,-0.07,-0.1,-0.66,0
19,5228,1,0,342,24,1,5,3,999,4,50,94,-43,0,25.39,-0.22,17,835,0.29,1,0.0,-0.3,51,0,0.02,1,0,-0.01,411,17,1,0.11,987,26,849,-0.31,445,-0.07,-0.1,-0.49,1
20,5228,1,5,118,34,1,5,48,999,4,55,94,-43,0,33.44,-0.37,11,311,0.29,6,0.01,-0.3,132,0,0.02,0,1,-0.01,289,130,0,-0.62,1068,5,326,-0.31,497,0.02,-0.1,-0.21,0
21,5009,0,5,403,61,-2,1,66,12,7,39,93,-35,0,16.95,-0.04,21,1693,0.29,1,0.0,2.41,88,2,0.0,0,1,0.06,74,42,1,0.11,789,29,222,2.69,457,0.02,-0.13,0.07,1
22,5228,0,6,931,98,1,5,43,999,6,29,93,-36,0,16.73,0.2,3,1282,0.29,3,0.01,-0.08,80,0,0.02,0,0,-0.05,505,6,1,0.11,562,30,626,-0.31,189,-0.07,0.24,0.07,0
23,5228,1,0,549,74,1,5,1,999,9,40,93,-36,0,61.94,-0.04,14,1019,0.29,1,0.0,-0.08,74,0,0.02,0,0,-0.05,703,0,0,0.11,1269,5,119,-0.31,312,-0.07,-0.1,-0.16,0
24,5191,0,6,986,71,1,5,56,999,10,44,94,-36,0,64.32,0.13,18,722,-0.8,7,0.01,-0.56,124,0,0.03,1,1,-0.01,889,100,0,-0.62,844,6,388,-0.31,208,0.02,-0.1,0.07,0
25,5228,0,0,971,47,1,5,19,999,0,38,93,-36,0,26.59,0.13,26,882,0.29,1,0.01,-0.08,20,0,0.0,0,1,0.06,658,83,1,0.11,752,32,479,-0.31,354,0.02,-0.1,0.07,1
26,5191,0,5,155,49,1,5,28,999,2,36,94,-36,1,0.57,0.13,27,1316,-0.8,1,0.0,-0.56,122,0,0.02,0,0,-0.05,115,60,0,0.11,777,24,446,-0.31,301,0.02,-0.13,0.07,0
27,5099,1,5,334,8,-2,1,58,999,3,28,93,-46,0,5.17,-0.37,27,810,0.29,2,0.0,-0.56,110,1,0.0,0,1,0.06,731,211,1,-0.62,586,32,68,0.35,448,0.02,-0.1,-0.49,0
28,5191,1,0,469,88,1,5,48,999,4,47,94,-36,1,38.81,0.43,12,923,-0.8,1,0.0,-0.56,99,0,0.0,1,1,0.03,736,180,0,-0.62,841,29,127,-0.31,452,0.02,0.24,0.21,0
29,5228,0,0,379,40,1,5,62,999,6,34,93,-36,0,55.03,0.2,7,1174,0.29,1,0.0,-0.08,23,0,0.02,0,1,-0.01,30,99,0,0.11,1264,15,109,-0.31,13,0.02,-0.1,0.21,0
30,5099,1,5,489,18,-2,2,50,999,5,38,93,-50,0,77.74,0.2,13,29,0.29,1,0.01,2.41,126,1,0.01,0,0,-0.01,483,42,1,0.11,1215,8,113,0.35,426,-0.07,-0.1,0.07,0
31,5228,0,6,860,3,1,5,45,999,3,33,94,-42,1,5.72,-0.04,14,1015,-0.8,3,0.01,0.19,69,0,0.02,0,0,0.06,52,75,0,-0.62,1632,5,393,-0.31,91,0.02,-0.1,-0.21,0
32,5076,1,6,678,26,-3,1,13,999,6,51,93,-41,1,3.23,0.2,30,428,0.29,2,0.0,0.19,33,0,0.01,0,1,-0.01,339,90,1,0.11,531,4,151,-0.31,117,0.02,0.24,0.07,0
33,5228,1,1,119,85,1,5,17,999,3,30,94,-42,1,5.16,-0.22,19,1638,-0.8,1,0.01,0.19,142,0,0.01,1,0,-0.01,597,63,1,-0.62,1551,18,256,-0.31,385,0.02,0.24,-0.49,0
34,5228,1,6,672,9,1,5,59,999,6,48,93,-36,0,4.53,0.2,20,632,0.29,7,0.0,-0.08,106,0,0.01,0,1,0.03,887,143,1,0.11,1298,9,42,-0.31,156,0.02,-0.1,0.07,0
35,5228,1,0,807,74,1,5,55,999,6,28,94,-42,1,38.06,-0.4,22,1486,-0.8,1,0.01,0.19,52,0,0.02,1,0,-0.05,866,60,0,0.11,1225,18,525,-0.31,292,0.02,0.24,-0.49,0
36,5191,1,0,729,8,1,5,25,999,8,36,94,-36,1,31.97,-0.37,5,1467,-0.8,1,0.01,-0.56,127,0,0.03,1,0,-0.05,158,90,0,0.11,1535,15,57,-0.31,196,0.02,-0.1,-0.49,0
37,5196,1,0,53,87,0,4,45,999,9,46,93,-42,0,31.31,-0.04,8,997,0.29,1,0.0,-0.13,90,0,0.01,0,0,-0.05,239,195,1,0.11,1172,16,499,-0.31,419,0.02,-0.13,-0.16,0
38,5099,0,6,876,3,-2,1,46,999,7,31,93,-46,0,7.3,0.43,11,641,0.29,1,0.01,-0.56,116,1,0.03,1,1,-0.05,452,228,0,0.11,1656,7,84,0.35,135,0.02,0.24,0.07,0
39,4964,0,0,986,11,-1,1,51,999,5,20,95,-50,0,3.4,0.43,16,949,0.29,3,0.0,1.54,98,3,0.03,1,1,0.06,846,23,1,0.11,1737,13,137,0.35,367,0.02,0.24,0.93,0
40,5099,1,1,107,22,-2,1,37,999,8,35,93,-46,1,1.89,-0.04,20,851,0.29,1,0.01,-0.56,146,0,0.02,0,1,-0.01,304,90,1,-0.62,846,27,31,-0.31,105,0.02,-0.1,-0.21,0
41,5228,1,0,284,77,1,5,9,999,5,38,94,-42,0,12.38,-0.4,10,131,-0.8,1,-0.18,0.19,98,0,0.02,1,0,-0.01,53,176,1,-0.62,345,15,430,-0.31,141,-0.18,-0.1,-0.49,0
42,4992,0,1,405,39,-2,1,66,999,5,76,94,-38,1,4.39,0.2,5,1758,0.29,1,0.0,-0.08,110,1,0.02,1,1,0.03,147,37,0,0.11,673,27,126,0.35,341,0.02,-0.1,0.9,0
43,5228,1,0,661,21,1,5,25,999,0,45,94,-43,1,45.87,0.13,25,205,0.29,3,0.01,-0.3,102,0,0.01,0,1,-0.01,31,68,0,0.11,1531,21,211,-0.31,81,0.02,-0.13,-0.66,0
44,5099,1,5,524,50,-2,1,51,999,5,32,93,-46,1,0.86,-0.22,5,1282,0.29,1,0.01,-0.56,109,0,0.02,1,0,-0.01,24,216,1,0.11,787,11,340,-0.31,373,-0.07,-0.1,-0.03,0
45,5099,0,5,961,99,-2,1,33,999,1,39,93,-46,1,27.96,0.2,3,747,0.29,2,0.0,-0.56,86,0,0.0,0,0,0.03,837,157,1,-0.62,967,27,412,-0.31,93,0.02,0.24,-0.16,0
46,5196,1,6,223,55,0,5,48,999,4,32,93,-42,1,0.21,0.2,27,1311,-0.8,1,0.0,-0.13,40,0,0.01,1,0,0.03,799,94,1,0.11,1075,28,132,-0.31,385,0.02,-0.1,0.21,0
47,5099,0,0,49,16,-2,1,31,999,2,29,93,-46,1,80.35,-0.4,11,1192,0.29,2,0.0,-0.56,85,0,0.02,0,0,0.06,458,157,0,0.11,234,21,79,-0.31,118,0.02,0.24,0.21,0
48,5228,1,6,942,9,1,5,10,999,4,44,93,-36,1,4.28,0.13,15,1560,0.29,2,0.0,-0.08,85,0,0.03,1,1,0.06,625,14,0,0.11,203,12,341,-0.31,274,0.02,-0.1,-0.21,0
49,5228,1,1,594,93,1,5,12,999,3,32,94,-43,0,81.8,-0.04,20,1546,0.29,3,0.0,-0.3,104,0,0.03,0,1,-0.01,199,198,0,0.11,1311,27,157,-0.31,308,-0.07,-0.1,-0.21,0
50,5076,1,0,745,82,-3,1,19,999,9,56,93,-41,0,69.04,0.2,18,1182,0.29,1,0.01,0.19,56,2,0.02,0,1,-0.05,164,60,1,0.11,1554,30,252,0.35,461,0.02,-0.1,0.9,0
51,5099,1,0,623,72,-2,1,6,999,9,33,93,-46,0,14.59,-0.4,7,576,0.29,1,0.01,-0.56,34,0,0.03,0,0,0.03,692,30,0,0.11,872,29,263,-0.31,412,0.02,-0.1,-0.49,0
52,5228,1,1,871,64,1,5,36,999,5,39,93,-36,0,16.53,-0.04,18,816,0.29,3,0.0,-0.08,106,0,0.0,0,1,-0.01,778,139,0,0.11,1327,4,215,-0.31,62,0.02,-0.1,-0.16,0
53,5018,1,5,508,40,-3,1,64,3,1,24,92,-30,1,12.73,0.2,11,846,0.29,2,0.01,1.72,84,1,0.02,1,0,-0.01,97,188,0,0.11,992,32,89,2.69,226,-0.07,-0.1,0.07,1
54,5099,1,1,941,84,-2,1,30,999,8,33,93,-46,1,7.54,0.2,3,309,0.29,1,0.01,-0.56,48,0,0.02,0,0,0.03,844,108,0,0.11,604,26,143,-0.31,298,0.02,0.24,0.21,0
55,5228,1,1,358,1,1,5,68,999,6,58,94,-42,0,0.66,0.2,3,1911,-0.8,2,0.0,0.19,103,0,0.01,1,0,0.03,737,10,0,0.11,1153,26,40,-0.31,383,0.02,-0.13,-0.66,0
56,5228,0,1,427,38,1,5,33,999,5,29,94,-42,1,24.09,0.2,9,1603,-0.8,27,0.01,0.19,109,0,0.03,0,1,-0.01,466,208,1,0.11,419,13,10,-0.31,138,0.02,0.24,0.21,0
57,5228,1,5,847,33,1,5,7,999,8,31,93,-36,1,30.86,0.2,10,690,0.29,1,0.01,-0.08,18,0,0.01,1,1,0.03,721,116,0,0.11,1698,26,113,-0.31,70,0.02,-0.1,0.21,0
58,5191,0,1,789,65,1,5,25,999,5,27,94,-36,1,22.14,0.2,7,1292,-0.8,5,0.0,-0.56,105,0,0.03,0,1,-0.05,48,117,0,0.11,1244,15,191,-0.31,223,0.02,-0.1,0.21,0
59,4964,0,5,63,37,-1,1,56,999,0,60,94,-38,0,88.35,0.13,17,861,0.29,1,0.01,1.72,55,1,0.03,0,0,-0.05,652,135,0,0.11,948,13,481,0.35,313,0.02,-0.13,0.21,1
60,5018,0,5,5,94,-3,1,37,999,7,55,92,-27,0,13.44,0.13,24,1167,0.29,1,0.01,1.54,82,2,0.01,0,0,0.06,233,98,1,0.11,1473,17,233,0.35,261,-0.07,-0.1,-0.66,0
61,5099,1,1,424,1,-2,1,13,999,8,37,93,-46,1,23.24,-0.4,20,323,0.29,2,0.01,-0.56,44,0,0.01,1,1,-0.05,817,46,1,0.11,1619,10,204,-0.31,126,0.02,-0.1,-0.49,0
62,5009,1,0,462,30,-2,1,6,6,4,52,94,-35,1,2.2,0.43,11,517,-0.8,1,0.01,0.51,66,1,0.0,1,1,-0.05,686,82,1,0.11,1848,26,403,2.69,107,0.02,-0.1,0.21,1
63,5099,1,0,685,22,-2,1,68,999,8,46,93,-47,1,6.99,-0.04,13,967,0.29,1,0.01,0.51,52,0,0.01,0,1,0.06,940,51,1,0.11,764,18,180,-0.31,319,0.02,-0.1,-0.21,0
64,5099,0,5,914,14,-2,1,65,999,6,42,93,-46,0,35.42,-0.37,19,1530,0.29,2,0.01,-0.56,94,0,0.01,1,0,-0.05,811,182,1,0.11,907,12,16,-0.31,76,0.02,-0.13,-0.49,0
65,5228,1,0,32,1,1,5,33,999,0,35,94,-43,0,135.55,0.2,4,550,0.29,3,0.01,-0.3,73,0,0.02,0,0,0.06,981,194,0,0.11,1719,13,447,-0.31,23,0.02,0.24,0.21,0
66,5018,0,1,751,48,-3,1,55,999,2,49,92,-27,0,2.69,0.43,8,862,0.29,1,0.01,1.54,57,0,0.03,1,1,0.03,103,40,1,0.11,930,33,81,-0.31,145,-0.07,-0.13,0.07,0
67,5228,0,5,363,57,1,5,53,999,6,29,94,-42,0,42.09,-0.04,26,174,-0.8,3,0.0,0.19,100,0,0.03,0,0,0.06,784,130,0,0.11,1501,5,361,-0.31,25,-0.07,-0.13,-0.21,0
68,5196,1,5,292,11,0,4,35,5,1,32,93,-42,1,2.24,-0.4,12,404,0.29,2,0.0,-0.13,140,1,0.01,1,0,0.06,288,197,1,0.11,1188,15,1091,2.69,245,0.02,-0.1,-0.49,1
69,5099,1,1,949,6,-2,1,68,999,4,37,93,-46,1,3.37,0.2,27,476,0.29,1,0.0,-0.56,90,1,0.02,1,0,-0.01,15,199,0,0.11,1640,25,395,0.35,257,0.02,-0.1,-0.26,0
70,5228,1,1,880,47,1,5,11,999,3,39,94,-42,1,2.62,0.13,2,1255,-0.8,4,0.0,0.19,28,0,0.02,1,0,0.06,920,201,0,-0.62,1269,9,432,-0.31,105,0.02,0.24,0.07,1
71,5228,1,5,955,86,1,5,34,999,9,51,94,-43,1,6.42,-0.04,28,1520,-0.8,3,0.01,-0.3,66,0,0.02,0,1,0.06,443,200,1,-0.62,1192,20,596,-0.31,83,0.02,-0.1,-0.21,1
72,5099,0,5,422,18,-2,1,18,999,4,28,93,-46,0,14.86,-0.04,5,1233,0.29,3,0.01,-0.56,81,0,0.01,0,1,-0.01,714,246,0,0.11,1220,17,59,-0.31,390,0.02,0.24,0.21,0
73,5099,0,6,264,71,-2,1,40,999,3,34,93,-46,0,24.21,0.2,7,1565,0.29,4,0.01,-0.56,96,0,0.02,0,1,-0.05,503,72,0,0.11,1222,17,77,-0.31,338,0.02,-0.1,-0.16,0
74,5228,0,1,138,27,1,5,32,999,7,31,93,-36,0,6.99,-0.04,2,1540,0.29,1,0.01,-0.08,93,0,0.01,0,1,-0.01,415,80,1,0.11,787,1,768,-0.31,55,-0.07,0.24,0.07,1
75,5228,1,5,855,37,1,5,10,999,3,31,93,-36,1,33.49,0.2,9,498,0.29,5,0.01,-0.08,41,0,0.0,0,0,0.03,45,192,0,0.11,791,24,96,-0.31,300,0.02,-0.1,0.21,0
76,5228,0,1,922,25,1,5,39,999,3,31,94,-42,0,39.03,0.2,23,1378,-0.8,2,0.01,0.19,52,0,0.01,1,1,-0.05,101,147,1,0.11,1194,9,357,-0.31,119,0.02,0.24,0.21,0
77,5191,1,0,864,51,1,5,11,999,4,38,94,-36,1,59.9,0.2,24,795,-0.8,2,0.0,-0.56,130,0,0.01,1,1,0.03,774,22,1,0.11,1061,17,459,-0.31,59,0.02,0.24,-0.26,0
78,5228,0,1,976,8,1,5,63,999,8,33,94,-42,1,7.46,-0.4,8,865,-0.8,6,0.0,0.19,80,0,0.02,1,1,-0.01,418,136,1,0.11,445,7,11,-0.31,493,0.02,-0.1,0.56,0
79,5228,1,1,104,24,1,5,45,999,0,32,93,-36,1,17.09,0.2,0,874,0.29,12,0.0,-0.08,120,0,0.01,0,1,-0.01,464,92,1,0.11,851,24,264,-0.31,212,0.02,0.24,0.07,0
80,5099,1,5,369,79,-2,1,68,999,5,54,93,-47,1,52.46,0.13,26,658,0.29,1,0.01,0.51,61,0,0.01,1,1,0.06,519,156,1,-0.62,933,15,698,-0.31,420,0.02,-0.1,0.07,0
81,5228,1,5,439,2,1,5,48,999,8,41,94,-42,0,68.39,-0.04,30,1282,-0.8,2,0.01,0.19,162,0,0.02,1,1,-0.01,384,76,0,0.11,1046,1,204,-0.31,377,0.02,-0.13,0.21,0
82,5228,0,1,95,75,1,5,52,999,8,59,93,-36,1,48.23,-0.22,17,1114,0.29,7,0.0,-0.08,116,0,0.0,1,1,0.03,361,35,1,-0.62,374,1,93,-0.31,385,0.02,-0.1,-0.21,0
83,5099,1,6,886,33,-2,1,69,2,7,57,93,-47,0,23.38,0.2,22,1693,0.29,1,0.01,0.51,55,1,0.01,1,0,0.03,755,137,1,0.11,1245,1,374,2.69,137,0.02,-0.1,0.9,0
84,5196,0,1,835,67,0,4,52,999,2,38,93,-42,0,6.85,0.2,8,1314,0.29,1,0.01,-0.13,97,0,0.02,1,1,0.03,387,209,1,0.11,1425,32,252,-0.31,65,0.02,-0.13,-0.66,0
85,5191,0,1,868,6,1,5,11,999,1,46,94,-36,1,28.28,0.2,3,67,-0.8,1,0.01,-0.56,121,0,0.01,0,1,-0.01,353,111,1,0.11,1485,20,158,-0.31,187,0.02,-0.1,0.21,0
86,5196,1,0,938,83,0,4,64,999,2,37,93,-42,1,95.75,0.2,27,1281,0.29,1,0.01,-0.13,108,0,0.01,1,1,-0.01,4,182,1,0.11,1999,18,95,-0.31,433,-0.07,0.24,0.56,0
87,5228,1,1,950,77,1,5,35,999,2,47,94,-42,1,34.39,-0.4,2,1036,-0.8,3,-0.18,0.19,103,0,0.01,0,1,0.03,430,76,0,0.11,1148,29,835,-0.31,126,-0.18,0.24,-0.21,1
88,5228,1,5,754,61,1,5,6,999,5,45,93,-36,1,38.84,0.2,18,127,0.29,1,0.0,-0.08,99,0,0.03,1,0,0.03,11,126,1,0.11,588,26,505,-0.31,44,0.02,0.24,0.21,1
89,5228,1,6,644,97,1,5,47,999,2,36,94,-43,0,38.38,-0.37,9,491,-0.8,1,0.01,-0.3,99,0,0.01,1,1,-0.05,9,38,0,0.11,931,25,16,-0.31,138,0.02,-0.1,-0.49,0
90,5228,1,5,924,7,1,5,59,999,9,40,94,-43,1,52.61,-0.04,26,983,0.29,5,0.01,-0.3,23,0,0.01,1,0,0.06,995,139,1,0.11,1142,16,300,-0.31,57,0.02,0.24,0.56,0
91,5196,1,5,396,42,0,4,31,999,7,38,93,-42,0,87.33,-0.4,11,793,0.29,2,0.0,-0.13,105,1,0.03,0,1,-0.01,287,239,0,0.11,1337,14,180,0.35,324,0.02,-0.1,-0.49,0
92,5228,0,5,770,70,1,5,40,999,6,44,94,-42,0,41.23,-0.04,11,1565,-0.8,2,0.0,0.19,28,0,0.01,1,1,-0.01,430,105,1,-0.62,1318,32,390,-0.31,240,0.02,-0.1,-0.49,0
93,5191,1,0,367,23,1,5,10,999,10,25,94,-36,1,21.96,0.2,10,929,-0.8,2,0.01,-0.56,74,0,0.0,1,0,-0.01,580,212,1,0.11,682,20,274,-0.31,80,0.02,-0.1,-0.26,0
94,5228,0,6,49,82,1,5,46,999,5,30,94,-43,0,17.48,-0.37,17,1696,-0.8,5,0.01,-0.3,151,0,0.02,1,0,-0.01,444,231,0,0.11,670,18,135,-0.31,341,0.02,0.24,-0.49,0
95,5196,1,1,144,49,0,4,28,999,2,43,93,-42,0,88.33,0.13,20,189,0.29,2,0.0,-0.13,199,0,0.01,1,1,-0.01,650,163,1,0.11,1531,27,257,-0.31,434,0.02,-0.1,-0.16,0
96,5191,0,1,756,93,1,5,56,999,3,58,94,-36,0,49.08,-0.37,12,802,-0.8,3,0.0,-0.56,125,0,0.02,0,0,0.06,975,16,0,-0.62,842,11,268,-0.31,285,0.02,-0.1,0.9,0
97,5191,1,5,543,32,1,5,8,999,9,31,94,-36,1,20.92,0.13,5,702,-0.8,6,0.01,-0.56,20,0,0.02,1,1,-0.05,421,231,0,0.11,285,31,157,-0.31,28,0.02,-0.1,0.07,0
98,5228,0,0,784,29,1,5,11,999,1,53,94,-43,1,0.67,0.2,3,1140,0.29,2,0.0,-0.3,111,0,0.0,1,0,-0.01,515,137,1,0.11,1095,11,477,-0.31,137,0.02,-0.1,-0.16,0
99,5228,0,5,493,88,1,5,12,999,10,52,93,-36,1,2.39,0.43,28,1655,0.29,1,0.0,-0.08,46,0,0.0,1,0,-0.01,285,112,0,0.11,1116,28,91,-0.31,483,0.02,-0.1,0.21,0
100,5099,0,5,187,84,-2,1,52,999,3,37,93,-47,1,9.25,0.2,0,1506,0.29,1,0.0,0.51,70,1,0.01,1,1,-0.01,305,12,0,-0.62,1154,9,76,0.35,106,-0.07,-0.1,-0.16,0
101,5228,0,0,165,81,1,5,66,999,3,58,94,-43,1,3.52,-0.04,20,1837,0.29,1,0.01,-0.3,136,0,0.02,1,1,-0.01,997,38,1,-0.62,1071,16,103,-0.31,273,0.02,-0.1,0.21,0
102,5099,0,6,906,99,-2,1,18,999,9,37,93,-46,0,15.38,-0.04,2,1389,0.29,3,0.01,-0.56,65,0,0.0,1,1,0.03,691,81,0,0.11,845,10,436,-0.31,215,-0.07,-0.1,-0.21,0
103,5099,1,6,484,58,-2,1,57,999,3,38,93,-46,1,23.45,0.43,18,362,0.29,1,0.01,-0.56,175,0,0.01,1,1,-0.01,769,87,0,0.11,1053,26,191,-0.31,83,0.02,0.24,0.21,0
104,5099,0,5,414,16,-2,1,4,999,6,33,93,-47,1,8.25,-0.4,10,1183,0.29,2,0.01,0.51,101,0,0.0,1,1,0.03,310,64,1,0.11,1290,30,483,-0.31,328,0.02,0.24,-0.21,0
105,5099,1,1,765,38,-2,1,66,999,6,45,93,-46,0,60.08,-0.04,10,857,0.29,1,0.01,-0.56,90,0,0.01,0,0,-0.01,924,7,1,-0.62,1253,21,250,-0.31,40,0.02,-0.1,-0.21,0
106,5191,1,0,703,63,1,5,0,999,6,44,94,-36,0,2.36,0.13,18,871,-0.8,1,0.0,-0.56,53,0,0.0,1,0,0.06,849,133,0,0.11,1314,7,259,-0.31,318,0.02,-0.1,-0.66,0
107,5228,1,5,562,10,1,5,18,999,3,38,94,-43,1,1.5,-0.37,17,1623,-0.8,2,0.01,-0.3,77,0,0.02,1,1,0.03,764,78,0,0.11,762,20,389,-0.31,179,0.02,-0.1,-0.49,0
108,4992,1,1,970,73,-2,1,35,999,2,34,94,-40,0,3.28,-0.4,25,977,-0.8,1,0.0,0.19,130,0,0.01,0,1,-0.01,439,207,1,0.11,1026,18,7,-0.31,392,0.02,-0.1,-0.49,0
109,5076,0,5,910,38,-3,1,14,999,3,47,92,-34,0,3.33,0.2,25,840,0.29,1,0.01,-0.3,139,0,0.0,1,1,-0.05,961,181,0,0.11,944,5,123,-0.31,268,0.02,-0.1,-0.16,0
110,5076,0,1,586,85,-3,1,35,999,2,59,92,-34,1,98.88,0.2,2,1130,0.29,1,0.01,-0.3,155,0,0.02,1,1,-0.05,64,36,0,0.11,1350,10,92,-0.31,232,-0.07,-0.1,0.21,0
111,5228,1,0,186,95,1,5,11,999,4,51,93,-36,1,40.1,-0.22,23,491,0.29,2,0.01,-0.08,103,0,0.03,0,1,0.03,504,62,0,-0.62,1584,6,297,-0.31,430,-0.07,-0.1,-0.49,0
112,5228,1,5,722,47,1,5,17,999,4,31,94,-42,1,39.95,-0.37,20,209,-0.8,2,0.01,0.19,101,0,0.02,0,1,-0.05,725,65,0,0.11,698,6,406,-0.31,350,0.02,-0.1,-0.49,0
113,5196,1,5,850,45,0,4,11,999,6,56,93,-42,1,53.79,0.2,9,890,0.29,1,0.01,-0.13,72,1,0.0,1,0,-0.05,903,138,1,0.11,1333,30,104,0.35,233,-0.07,-0.1,-0.16,0
114,5228,0,0,128,22,1,5,27,999,3,39,94,-42,0,21.97,0.2,1,336,-0.8,2,0.0,0.19,58,0,0.03,0,0,0.06,614,89,0,0.11,1596,26,135,-0.31,290,0.02,-0.1,0.21,0
115,5196,1,6,409,28,0,4,61,999,5,41,93,-42,0,56.39,0.2,21,1652,0.29,1,0.01,-0.13,77,0,0.01,1,0,-0.01,237,66,1,0.11,1292,17,854,-0.31,303,0.02,-0.1,-0.66,1
116,5196,1,1,696,74,0,4,65,999,2,41,93,-42,1,26.26,-0.37,2,906,0.29,1,0.01,-0.13,98,0,0.0,1,0,0.03,508,92,1,0.11,818,15,147,-0.31,99,0.02,-0.13,-0.16,0
